StudentID	HW1	HW2	HW3	Midterm	Final	Attend	Total	Grade
S2020_29	9.090909091	10	10	30	30	10	89.09090909	A+
S2020_14	9.090909091	10	10	24.06976744	26.78571429	10	79.94639082	A+
S2020_24	8.181818182	10	9	27.55813953	21.42857143	10	76.16852915	A+
S2020_10	10	7.272727273	8	24.41860465	24.64285714	10	74.33418907	A+
S2020_34	10	10	9	22.6744186	22.5	10	74.1744186	A+
S2020_28	10	10	6	25.46511628	22.5	10	73.96511628	A+
S2020_27	9.090909091	10	9	21.97674419	21.42857143	10	71.49622471	A+
S2020_4	9.090909091	10	9	23.37209302	19.28571429	10	70.7487164	A+
S2020_19	10	10	8	25.46511628	16.07142857	10	69.53654485	A+
S2020_18	10	9.090909091	9	19.88372093	21.42857143	10	69.40320145	A+
S2020_8	9.090909091	8.181818182	7	24.06976744	20.35714286	10	68.69963757	A+
S2020_30	9.090909091	10	8	26.1627907	15	10	68.25369979	B+
S2020_5	9.090909091	10	9	25.11627907	15	10	68.20718816	B+
S2020_6	7.272727273	8.181818182	9	25.46511628	17.57142857	10	67.49109031	B+
S2020_3	10	9.090909091	6	23.37209302	17.14285714	10	65.60585926	B+
S2020_26	9.090909091	10	7	16.04651163	22.5	10	64.63742072	B+
S2020_7	9.090909091	10	8	21.97674419	13.28571429	10	62.35336756	B+
S2020_31	7.272727273	10	9	20.58139535	15	8	61.85412262	B+
S2020_22	7.272727273	8.181818182	6	25.46511628	12.85714286	10	59.77680459	B+
S2020_23	9.090909091	9.090909091	9	16.39534884	11.78571429	8	55.3628813	B+
S2020_11	9.090909091	10	5	23.02325581	6.857142857	10	53.97130776	B+
S2020_9	7.272727273	10	9	25.11627907	2.142857143	9	53.53186349	C+
S2020_13	0	7.272727273	6	23.02325581	17.14285714	10	53.43884023	C+
S2020_35	7.272727273	7.272727273	7	24.06976744	6.428571429	10	52.04379342	C+
S2020_25	9.090909091	10	5	20.58139535	6.857142857	10	51.5294473	C+
S2020_32	9.090909091	8.181818182	6	21.62790698	6.428571429	10	51.32920568	C+
S2020_21	7.272727273	10	8	16.74418605	7.5	7	49.51691332	C+
S2020_16	9.090909091	7.272727273	6	18.48837209	8.571428571	10	49.42343703	C+
S2020_2	7.272727273	9.090909091	6	15	6.428571429	10	43.79220779	C+
S2020_33	7.272727273	4.545454545	1	20.23255814	5.785714286	10	38.83645424	C+
S2020_17	9.090909091	4.545454545	5	10.11627907	6.428571429	7	35.18121413	C+
S2020_15	10	6.363636364	0	10.11627907	2.142857143	9	28.62277258	C+
S2020_20	9.090909091	0	0	17.44186047	0	9	26.53276956	D+
S2020_12	7.272727273	10	0	4.186046512	2.142857143	10	23.60163093	D+
S2020_1	0	7.272727273	1	0	2.142857143	7	10.41558442	D+
